,evType,STATE,Reports,totalPropertyDamage,totalCropDamage,meanPropertyDamage,meanCropDamage,Injuries,meanInjuries,Fatalities,meanFatalities
1536,wildfire,UT,49,5.77,0.04,0.117755102040816,0.000816326530612245,6,122.448979591837,10,204.081632653061
1537,wildfire,VA,30,4.159,1.6877,0.138633333333333,0.0562566666666667,4,133.333333333333,0,0
1538,wildfire,VI,19,0.222,0,0.0116842105263158,0,0,0,0,0
1539,wildfire,WA,191,28.4165,82.759,0.148777486910995,0.433293193717277,12,62.82722513089,4,20.9424083769634
1540,wildfire,WI,16,1.737,0.002,0.1085625,0.000125,3,187.5,1,62.5
1541,wildfire,WV,27,0.023,0,0.000851851851851852,0,0,0,1,37.037037037037
1542,wildfire,WY,75,4.301,0,0.0573466666666667,0,11,146.666666666667,1,13.3333333333333
1543,winter storm,AK,143,0.036,0,0.000251748251748252,0,0,0,2,13.986013986014
1544,winter storm,AL,41,2.033,0.358,0.0495853658536585,0.00873170731707317,2,48.780487804878,2,48.780487804878
1545,winter storm,AR,126,6.36404,0,0.050508253968254,0,2,15.8730158730159,1,7.93650793650794
1546,winter storm,AZ,93,0.12,0,0.00129032258064516,0,20,215.05376344086,17,182.795698924731
1547,winter storm,CA,497,4.796,0,0.00964989939637827,0,80,160.965794768612,11,22.1327967806841
1548,winter storm,CO,1145,32.2105,0,0.0281314410480349,0,6,5.24017467248908,2,1.74672489082969
1549,winter storm,CT,92,5.51,0,0.0598913043478261,0,0,0,1,10.8695652173913
1550,winter storm,DC,17,0.005,0,0.000294117647058824,0,0,0,1,58.8235294117647
1551,winter storm,DE,33,13.8,0,0.418181818181818,0,40,1212.12121212121,5,151.515151515152
1552,winter storm,FL,6,1.195,0,0.199166666666667,0,1,166.666666666667,0,0
1553,winter storm,GA,44,10.98,0,0.249545454545455,0,0,0,0,0
1554,winter storm,HI,16,0,0,0,0,0,0,0,0
1555,winter storm,IA,365,7.205,0,0.0197397260273973,0,16,43.8356164383562,5,13.6986301369863
1556,winter storm,ID,151,0.542,0,0.00358940397350993,0,13,86.0927152317881,3,19.8675496688742
1557,winter storm,IL,321,13.711,0,0.0427133956386293,0,31,96.5732087227414,11,34.2679127725857
1558,winter storm,IN,191,2.16,0,0.0113089005235602,0,0,0,0,0
1559,winter storm,KS,314,106.775,0.5,0.340047770700637,0.00159235668789809,43,136.942675159236,14,44.5859872611465
1560,winter storm,KY,106,5.7382,0,0.0541339622641509,0,0,0,0,0
1561,winter storm,LA,12,0.055,0,0.00458333333333333,0,4,333.333333333333,0,0
1562,winter storm,MA,130,4.9725,0,0.03825,0,0,0,0,0
1563,winter storm,MD,173,6.986,0,0.0403815028901734,0,13,75.1445086705202,6,34.6820809248555
1564,winter storm,ME,170,0,0,0,0,0,0,1,5.88235294117647
1565,winter storm,MI,597,4.04,0,0.00676716917922948,0,2,3.3500837520938,1,1.6750418760469
1566,winter storm,MN,529,23.077,0,0.0436238185255198,0,1,1.89035916824197,2,3.78071833648393
1567,winter storm,MO,263,6.34602,0,0.0241293536121673,0,0,0,2,7.60456273764259
1568,winter storm,MS,40,0.596,0,0.0149,0,0,0,0,0
1569,winter storm,MT,670,9.543,0,0.0142432835820896,0,1,1.49253731343284,3,4.47761194029851
1570,winter storm,NC,193,23.412,0,0.121305699481865,0,181,937.823834196891,11,56.9948186528497
1571,winter storm,ND,148,17.957,0,0.121331081081081,0,19,128.378378378378,5,33.7837837837838
1572,winter storm,NE,323,52.036,4.72,0.161102167182663,0.0146130030959752,22,68.1114551083591,11,34.0557275541796
